"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id"
"Orange County Line","OCL-MTWTF-20190408","296101042-20190408","Fullerton","643","1"
"Orange County Line","OCL-MTWTF-20190408","296101043-20190408","Fullerton","645","1"
"Orange County Line","OCL-MTWTF-20190408","296200086-20190408","Laguna Niguel / Mission Viejo","682","0"
"Orange County Line","OCL-MTWTF-20190408","296200088-20190408","Oceanside","600","0"
"Orange County Line","OCL-MTWTF-20190408","296200093-20190408","Laguna Niguel / Mission Viejo","684","0"
"Orange County Line","OCL-MTWTF-20190408","296200094-20190408","Oceanside","602","0"
"Orange County Line","OCL-MTWTF-20190408","296200096-20190408","Irvine","686","0"
"Orange County Line","OCL-MTWTF-20190408","296200098-20190408","Oceanside","604","0"
"Orange County Line","OCL-MTWTF-20190408","296200099-20190408","Laguna Niguel / Mission Viejo","688","0"
"Orange County Line","OCL-MTWTF-20190408","296200101-20190408","Oceanside","606","0"
"Orange County Line","OCL-MTWTF-20190408","296200102-20190408","Oceanside","608","0"
"Orange County Line","OCL-MTWTF-20190408","296201044-20190408","Laguna Niguel / Mission Viejo","640","0"
"Orange County Line","OCL-MTWTF-20190408","296201045-20190408","Laguna Niguel / Mission Viejo","642","0"
"Orange County Line","OCL-MTWTF-20190408","296201046-20190408","Oceanside","644","0"
"Orange County Line","OCL-SaSu-20190408","296300901-20190408","L.A. Union Station","661","1"
"Orange County Line","OCL-SaSu-20190408","296300922-20190408","L.A. Union Station","665","1"
"Orange County Line","OCL-SaSu-20190408","296400921-20190408","Oceanside","662","0"
"Orange County Line","OCL-SaSu-20190408","296400923-20190408","Oceanside","664","0"
"Inland Emp.-Orange Co. Line","IEOC-MTWTF-20190408","296500082-20190408","Oceanside","803","0"
"Inland Emp.-Orange Co. Line","IEOC-MTWTF-20190408","296500084-20190408","Irvine","805","0"
"Inland Emp.-Orange Co. Line","IEOC-MTWTF-20190408","296500085-20190408","Laguna Niguel / Mission Viejo","807","0"
"Inland Emp.-Orange Co. Line","IEOC-MTWTF-20190408","296500087-20190408","Laguna Niguel / Mission Viejo","809","0"
"Inland Emp.-Orange Co. Line","IEOC-MTWTF-20190408","296500090-20190408","Laguna Niguel / Mission Viejo","811","0"
"Inland Emp.-Orange Co. Line","IEOC-MTWTF-20190408","296500095-20190408","Laguna Niguel / Mission Viejo","813","0"
"Inland Emp.-Orange Co. Line","IEOC-MTWTF-20190408","296600054-20190408","San Bernardino - Downtown","802","1"
"Inland Emp.-Orange Co. Line","IEOC-MTWTF-20190408","296600056-20190408","Riverside - Downtown","804","1"
"Inland Emp.-Orange Co. Line","IEOC-MTWTF-20190408","296600058-20190408","Riverside - Downtown","806","1"
"Inland Emp.-Orange Co. Line","IEOC-MTWTF-20190408","296600060-20190408","San Bernardino - Downtown","808","1"
"Inland Emp.-Orange Co. Line","IEOC-MTWTF-20190408","296600062-20190408","San Bernardino - Downtown","810","1"
"Inland Emp.-Orange Co. Line","IEOC-SaSu-20190408","296700425-20190408","Oceanside","859","0"
"Inland Emp.-Orange Co. Line","IEOC-SaSu-20190408","296800429-20190408","San Bernardino - Downtown","860","1"
"Orange County Line","OCL-MTWTF-20190408","296800430-20190408","Laguna Niguel / Mission Viejo","632","0"
"Orange County Line","OCL-MTWTF-20190408","296800431-20190408","Laguna Niguel / Mission Viejo","634","0"
"Orange County Line","OCL-SaSu-20190408","296800432-20190408","Oceanside","660","0"
"Orange County Line","OCL-SaSu-20190408","296800433-20190408","Oceanside","666","0"
"Orange County Line","OCL-MTWTF-20190408","296800434-20190408","Fullerton","633","1"
"Orange County Line","OCL-MTWTF-20190408","296800435-20190408","Fullerton","635","1"
"Orange County Line","OCL-SaSu-20190408","296800436-20190408","L.A. Union Station","663","1"
"Orange County Line","OCL-SaSu-20190408","296800437-20190408","L.A. Union Station","667","1"
"Inland Emp.-Orange Co. Line","IEOC-SaSu-20190408","296800439-20190408","Oceanside","857","0"
"Inland Emp.-Orange Co. Line","IEOC-MTWTF-20190408","296800440-20190408","San Bernardino - Downtown","812","1"
"Inland Emp.-Orange Co. Line","IEOC-SaSu-20190408","296800441-20190408","San Bernardino - Downtown","858","1"
"Inland Emp.-Orange Co. Line","IEOC-MTWTF-20190408","296800442-20190408","Riverside - Downtown","800","1"
"91 Line","91PV-MTWTF-20190408","296800443-20190408","Riverside - Downtown","731","1"
"91 Line","91PV-MTWTF-20190408","296800444-20190408","Riverside - Downtown","733","1"
"91 Line","91PV-MTWTF-20190408","296800445-20190408","Riverside - Downtown","735","1"
"91 Line","91PV-MTWTF-20190408","296800446-20190408","Perris - South","732","0"
"91 Line","91PV-MTWTF-20190408","296800447-20190408","Perris - South","734","0"
"91 Line","91PV-MTWTF-20190408","296800448-20190408","Perris - South","736","0"
